,ep_reward,steps,avg_reward
425,54.37752143863865,500,-63.58735375015577
426,-45.292633406799744,471,-63.42651626915507
427,-289.4724482567567,110,-65.79491621448929
428,72.29090216245075,500,-63.6560555324521
429,39.121829051153775,500,-65.8276892825653
430,34.88748629562401,500,-65.01284508145949
431,-176.10290934266555,205,-65.53486876766713
432,-97.53848995941368,113,-65.02149742901115
433,35.83904621366464,500,-62.87443059001336
434,44.220322805310076,500,-62.71352026583119
435,54.87089829577082,500,-62.8252053643851
436,-3.677330054822227,500,-61.29012238989731
437,101.75945263382972,500,-58.7142578883843
438,47.89236122189694,500,-56.29213377812746
439,-134.43778112524973,500,-57.26105053255778
440,-99.20577167748175,500,-56.77511465804034
441,-25.07067440754979,500,-55.834601462235014
442,-38.32197407026379,500,-55.009486613694136
443,30.144626096706176,500,-52.65602515336631
444,-212.69012600498195,157,-52.71949947472205
445,-140.03863646953027,131,-53.0346227259336
446,-207.64712722455155,111,-53.67429280320639
447,-179.17748851013047,138,-55.969347448483084
448,-230.3991431699519,349,-58.75660394968252
449,-365.83811015257686,123,-62.25239149708891
450,-226.1850377048134,114,-65.09553016508603
451,-38.2218102654658,500,-65.92860772132632
452,23.485921282694324,500,-63.94329661144837
453,12.36427691636427,500,-64.43048958901143
454,-58.142295202333294,500,-64.34207136972695
455,-204.71829508960974,409,-65.97263176163669
456,-279.770037412579,114,-68.63601687783488
457,5.2541998415048585,500,-67.75046648340212
458,-1.7997388577920979,500,-66.57074453328804
459,11.96176129064375,500,-66.29744961898881
460,-52.82534283640208,500,-66.64932565586015
461,-18.67134730263689,500,-67.33093202046753
462,17.701390863565184,500,-67.39898432927126
463,-281.8738515598012,185,-69.37860446262785
464,6.9694621434490776,500,-67.96877030088605
465,156.16881541114176,500,-66.99613689804958
466,-56.35060710745652,500,-65.77433827976132
467,-70.3876687085697,500,-66.67444267259124
468,-6.232473344293297,500,-67.79234573968098
469,-25.22495568371491,202,-68.13380715116338
470,-28.5930262980484,203,-68.57239714260673
471,-37.54749012788821,174,-69.75684726655072
472,-85.75844385554892,84,-71.42211649273487
473,-133.48995544461337,500,-73.26163101145343
474,-318.79084844189845,136,-77.21051855883289
475,-219.20630011921955,427,-77.60707620727207
476,-241.6407075768926,102,-77.15355906928018
477,-112.51710419264246,289,-75.96354668855597
478,-54.47771335982101,177,-74.03892726702108
479,208.50454998395384,428,-69.81542250496821
480,-28.32308486984654,165,-68.213942834232
481,-92.72427874313631,90,-66.42503860459242
482,-51.53093973089479,59,-64.58272277732308
483,254.67701047253175,296,-58.418092710733205
484,21.358732098565923,99,-55.47114873252151
485,177.41120088771737,320,-54.17154963847287
486,-30.084653908076714,500,-52.119699752540974
487,-124.11443887727971,500,-54.21743721648848
488,-33.10073480990162,500,-52.93611604425551
489,-32.84134850648728,500,-53.90074715204486
490,34.47491430481367,500,-54.54854951521712
491,-24.545668297779144,167,-55.774130935178576
492,-1.6016077499474477,131,-58.372405701896575
493,-20.37792797428115,500,-59.5791068505649
494,-97.88118745207754,198,-58.4457125080635
495,208.05545102667077,217,-57.37764108034477
496,-20.64232199869787,500,-58.07402381648033
497,-43.03620777198286,500,-59.53323223898668
498,-70.36664078931648,500,-61.152516992252124
499,18.626063299510218,500,-61.66621647935403
500,-4.323587716086044,500,-60.149964241227224
501,-38.74870924229769,207,-59.7044215793193
502,-80.51955492817989,500,-61.145727105876894
503,-25.233189102158278,500,-62.92627392446646
504,-25.46432112760221,500,-64.41612451786405
505,-50.89875653699586,500,-65.64736681597314
506,-153.70033416371558,500,-68.16661320738041
507,-46.99090044525661,500,-71.4837278262566
508,-65.86637227936619,500,-72.87714315294515
509,-66.28920414441842,500,-68.42299084375321
510,-9.257055906477513,500,-63.69175278709485
511,-188.27795757374454,500,-63.88823814834876
512,-154.69329212777777,500,-65.7180792386494
513,-9.189829886635462,500,-66.26972346374905
514,-169.5416339862788,500,-67.65669369928455
515,-45.2901818994824,500,-68.8957241598622
516,-41.57106370073623,500,-67.1306393230565
517,-88.12744842923296,500,-65.34840436670221
518,-97.05698893581453,500,-63.60790324104186
519,-116.73538837432389,500,-61.658930545582635
520,-82.77039440270109,500,-61.01086438053376
521,-102.44111498113568,500,-58.40884905894525
522,-76.93202614496656,137,-57.25130242979321
523,-107.35537600517699,60,-56.5473440143652
524,-138.01796381748977,87,-57.81381185624351
525,-106.29003761177022,85,-59.42048744674759
526,-201.40668846793363,446,-60.981627997358935
527,0.837530101806,500,-58.0785282137733
528,-136.1641248895126,500,-60.163078484292946
529,9.020315323510184,500,-60.46409362156938
530,-80.41744466158563,500,-61.61714293114148
531,-103.09451572753223,500,-60.88705899499014
532,-126.18856476866895,372,-61.17355974308268
533,-138.63122504769137,500,-62.91826245569624
